Title,Cuisine,Menu,Weekdays,Sunday,Area,Rating,Reviews,Yelp
Kefi,Greek,True,LD,D,Upper West Side,4.0,1016,http://www.yelp.com/biz/kefi-new-york-2
Kellari Taverna,Greek,True,D,D,Midtown West,3.5,305,http://www.yelp.com/biz/kellari-taverna-new-york
Ken & Cook,American New,True,LD,D,NoLIta,4.0,250,http://www.yelp.com/biz/ken-and-cook-new-york
Kin Shop,Thai,True,LD,D,Greenwich Village,3.5,380,http://www.yelp.com/biz/kin-shop-new-york
Koi SoHo,Asian Fusion,True,LD,D,Hudson Square,3.5,86,http://www.yelp.com/biz/koi-soho-new-york
Kristalbelli,Korean,True,LD,D,Koreatown,4.0,241,http://www.yelp.com/biz/kristalbelli-new-york
L'Ecole, The Restaurant of The International Culinary Center,Continental,True,LD,None,SoHo,4.0,485,http://www.yelp.com/biz/l-ecole-new-york
La Fonda Del Sol,Spanish,True,LD,None,Midtown East,3.5,225,http://www.yelp.com/biz/la-fonda-del-sol-new-york
La Loteria,Mexican,False,D,D,West Village,4.0,62,http://www.yelp.com/biz/la-loteria-new-york
La Masseria,Italian,True,LD,D,Times Square,4.0,293,http://www.yelp.com/biz/la-masseria-new-york
Lafayette,French,False,LD,D,NoHo,3.5,439,http://www.yelp.com/biz/lafayette-new-york-2
The Lambs Club Bar,American New,True,LD,None,Times Square,3.5,278,http://www.yelp.com/biz/the-lambs-club-new-york
Lavo Restaurant,Italian,True,LD,None,Midtown East,3.0,559,http://www.yelp.com/biz/lavo-new-york
Le Cirque,French,True,LD,None,Midtown East,3.5,699,http://www.yelp.com/biz/le-cirque-new-york
Le Colonial,Vietnamese,True,LD,D,Midtown East,3.5,162,http://www.yelp.com/biz/le-colonial-new-york
Le Perigord,French,False,LD,D,Midtown East,3.5,129,http://www.yelp.com/biz/le-perigord-new-york
Le Philosophe,French,True,D,D,NoHo,4.0,234,http://www.yelp.com/biz/le-philosophe-new-york
Left Bank,American New,True,D,D,West Village,4.0,152,http://www.yelp.com/biz/left-bank-new-york
The Leopard at des Artistes,Italian,True,D,D,Upper West Side,4.0,101,http://www.yelp.com/biz/the-leopard-at-des-artistes-new-york
Les Halles,French,False,LD,D,NoMad,3.5,1514,http://www.yelp.com/biz/les-halles-new-york-2
Les Halles - Downtown,French,False,LD,None,Financial District,3.5,599,http://www.yelp.com/biz/brasserie-les-halles-new-york-2
Lexington Brass,American New,False,D,D,Midtown East,3.5,398,http://www.yelp.com/biz/lexington-brass-new-york
The Library at The Public,American New,True,D,None,NoHo,4.0,100,http://www.yelp.com/biz/the-library-at-the-public-new-york
Lido,Italian,True,LD,None,Harlem,4.0,443,http://www.yelp.com/biz/lido-new-york
Limani,Mediterranean,True,LD,D,Midtown West,4.0,43,http://www.yelp.com/biz/limani-new-york
Lincoln Center Kitchen,American New,False,D,None,Upper West Side,2.5,6,http://www.yelp.com/biz/lincoln-center-kitchen-new-york-2
Lincoln Ristorante,Italian,True,L,None,Upper West Side,4.0,315,http://www.yelp.com/biz/lincoln-ristorante-new-york
The Lion,American Traditional,True,D,D,Greenwich Village,3.5,228,http://www.yelp.com/biz/the-lion-new-york
Little Park,American New,True,L,None,TriBeCa,4.0,110,http://www.yelp.com/biz/little-park-new-york
Lupa Osteria Romana,Italian,True,L,None,Greenwich Village,4.0,1048,http://www.yelp.com/biz/lupa-new-york
Lure Fishbar,Seafood,True,LD,D,SoHo,4.0,1024,http://www.yelp.com/biz/lure-fishbar-new-york
Macelleria,Steakhouse,True,LD,D,Meatpacking District,3.0,169,http://www.yelp.com/biz/macelleria-new-york
Macondo West,Latin American,True,D,D,West Village,3.5,70,http://www.yelp.com/biz/macondo-west-new-york
Maloney & Porcelli,Steakhouse,True,D,None,Midtown East,4.0,250,http://www.yelp.com/biz/maloney-and-porcelli-new-york
Manzo at Eataly,Italian,True,LD,None,Flatiron District,4.0,185,http://www.yelp.com/biz/manzo-new-york
MarkJoseph Steakhouse,Steakhouse,True,LD,D,Financial District,4.0,205,http://www.yelp.com/biz/markjoseph-steakhouse-new-york-2
Marseille,French,True,LD,D,Hell's Kitchen,3.5,556,http://www.yelp.com/biz/marseille-new-york
Masseria dei Vini,Italian,True,LD,D,Hell's Kitchen,4.5,107,http://www.yelp.com/biz/masseria-dei-vini-new-york
Match 65 Brasserie,French,True,LD,D,Upper East Side,3.5,68,http://www.yelp.com/biz/match-65-new-york-2
Maya,Mexican,True,LD,D,Upper East Side,3.5,441,http://www.yelp.com/biz/maya-new-york
Maze by Gordon Ramsay,French,False,L,None,Midtown West,3.5,551,http://www.yelp.com/biz/maze-by-gordon-ramsay-new-york
Mercer Kitchen,American New,False,LD,D,SoHo,3.5,992,http://www.yelp.com/biz/the-mercer-kitchen-new-york-5
Mezzogiorno Restaurant,Italian,True,LD,D,SoHo,3.5,109,http://www.yelp.com/biz/mezzogiorno-new-york
Michael Jordan's The Steak House N.Y.C.,Steakhouse,True,LD,D,Midtown East,3.0,266,http://www.yelp.com/biz/michael-jordans-the-steak-house-nyc-new-york
Michael's Restaurant,American New,False,LD,None,Midtown West,3.5,55,http://www.yelp.com/biz/michaels-new-york
Mint Restaurant,Indian,False,LD,D,Midtown East,3.0,182,http://www.yelp.com/biz/mint-new-york-3
Minton's,Soul Food/Southern,True,D,D,Harlem,4.0,78,http://www.yelp.com/biz/mintons-new-york
Miss Lily's,Caribbean,True,D,D,Greenwich Village,3.5,512,http://www.yelp.com/biz/miss-lilys-new-york
Miss Lily's 7A,Caribbean,True,LD,D,East Village,3.5,125,http://www.yelp.com/biz/miss-lilys-7a-cafe-new-york
Molyvos Restaurant,Greek,True,LD,D,Midtown West,3.5,299,http://www.yelp.com/biz/molyvos-new-york
Monkey Bar,American Traditional,True,LD,None,Midtown East,3.5,177,http://www.yelp.com/biz/monkey-bar-new-york
Montebello Restaurant,Italian,True,LD,None,Midtown East,3.0,54,http://www.yelp.com/biz/montebello-ristorante-italiano-new-york
The Morgan Dining Room,American New,False,L,None,Murray Hill,4.0,8,http://www.yelp.com/biz/the-morgan-dining-room-new-york
Morimoto NY,Japanese,True,L,None,Meatpacking District,4.0,2172,http://www.yelp.com/biz/morimoto-new-york
Morrell Wine Bar & Cafe,American New,False,LD,None,Midtown West,3.5,137,http://www.yelp.com/biz/morrell-wine-bar-and-cafe-new-york
Morton's Grille,American Traditional,False,LD,D,Gramercy,4.5,117,http://www.yelp.com/biz/mr-johns-steakhouse-new-orleans
Morton's The Steakhouse - Manhattan,Steakhouse,True,LD,D,Midtown East,4.0,272,http://www.yelp.com/biz/mortons-the-steakhouse-new-york-2
Morton's The Steakhouse - World Trade Center,Steakhouse,True,LD,D,Financial District,4.0,80,http://www.yelp.com/biz/mortons-the-steakhouse-new-york-3
Mr. Chow New York - 57th Street,Chinese,True,D,D,Midtown East,3.0,181,http://www.yelp.com/biz/mr-chow-new-york
Mr. Chow New York - Tribeca,Chinese,True,D,D,TriBeCa,3.5,223,http://www.yelp.com/biz/mr-chow-new-york-2
Mr. K's,Chinese,False,LD,D,Midtown East,3.0,146,http://www.yelp.com/biz/mr-ks-restaurant-new-york
Murray's Cheese Bar,American New,True,LD,D,Greenwich Village,4.0,352,http://www.yelp.com/biz/murrays-cheese-bar-new-york
Naples 45,Italian,True,LD,None,Midtown East,3.5,218,http://www.yelp.com/biz/naples-45-new-york
Narcissa,American New,True,L,None,East Village,4.0,233,http://www.yelp.com/biz/narcissa-new-york
The National Bar & Dining Rooms,American New,True,D,D,Midtown East,3.0,387,http://www.yelp.com/biz/the-national-bar-and-dining-rooms-new-york-2
Natsumi,Japanese,True,D,D,Times Square,4.0,405,http://www.yelp.com/biz/natsumi-new-york
Nice Matin,French,True,LD,D,Upper West Side,3.5,447,http://www.yelp.com/biz/nice-matin-new-york
Nick & Stef's Steakhouse,Steakhouse,True,LD,None,Midtown West,3.5,107,http://www.yelp.com/biz/nick-and-stefs-steakhouse-new-york
Nino's Restaurant,Italian,False,LD,None,Upper East Side,3.5,151,http://www.yelp.com/biz/ninos-restaurant-new-york
Nino's Tuscany Steakhouse,Italian,False,LD,None,Midtown West,4.0,120,http://www.yelp.com/biz/ninos-tuscany-steakhouse-new-york
Nobu New York,Japanese,True,L,None,TriBeCa,4.0,1088,http://www.yelp.com/biz/nobu-new-york
Nobu Next Door,Japanese,True,D,None,TriBeCa,4.0,1088,http://www.yelp.com/biz/nobu-new-york
North Square Restaurant & Lounge,American New,False,LD,D,Greenwich Village,4.0,206,http://www.yelp.com/biz/north-square-new-york
Nougatine at Jean-Georges,American New,False,LD,D,Upper West Side,4.0,754,http://www.yelp.com/biz/nougatine-at-jean-georges-new-york
NYY Steak - Manhattan,Steakhouse,True,LD,D,Midtown West,4.0,125,http://www.yelp.com/biz/nyy-steak-new-york
Obao Hell's Kitchen,Thai,False,LD,D,Hell's Kitchen,4.0,528,http://www.yelp.com/biz/obao-new-york-3
Obica Mozzarella Bar Pizza e Cucina,Italian,True,LD,None,Flatiron District,4.0,114,http://www.yelp.com/biz/obica-mozzarella-bar-pizza-and-cucina-new-york
Ocean Grill,Seafood,True,L,None,Upper West Side,4.0,395,http://www.yelp.com/biz/ocean-grill-new-york
Orsay Restaurant,French,True,LD,D,Upper East Side,3.5,153,http://www.yelp.com/biz/orsay-new-york
Orso Restaurant,Italian,True,L,None,Times Square,4.0,104,http://www.yelp.com/biz/orso-new-york
The Palm Court,American Traditional,True,D,D,Midtown West,3.5,100,http://www.yelp.com/biz/the-palm-court-new-york
Pampano,Mexican,False,LD,D,Midtown East,4.0,380,http://www.yelp.com/biz/pampano-new-york
Paramount Bar & Grill,American New,True,LD,None,Times Square,3.5,9,http://www.yelp.com/biz/paramount-bar-and-grill-new-york
Park Avenue Summer,American New,True,LD,None,NoMad,4.0,192,http://www.yelp.com/biz/park-avenue-autumn-winter-spring-summer-new-york-3
Parlor Steak & Fish,Steakhouse,True,LD,D,Upper East Side,3.5,333,http://www.yelp.com/biz/parlor-steakhouse-new-york-3
The Peacock,British,True,LD,None,Murray Hill,4.0,46,http://www.yelp.com/biz/the-peacock-new-york
Pera Mediterranean Brasserie,Mediterranean,True,D,D,Midtown East,3.5,278,http://www.yelp.com/biz/pera-mediterranean-brasserie-new-york
Pera SoHo,Mediterranean,True,LD,D,SoHo,3.5,180,http://www.yelp.com/biz/pera-soho-new-york
Perilla,American New,True,D,D,Greenwich Village,4.0,1140,http://www.yelp.com/biz/perilla-new-york-2
Periyali,Greek,False,LD,D,Flatiron District,4.0,156,http://www.yelp.com/biz/periyali-new-york
Perry Street,American New,False,LD,D,West Village,4.0,616,http://www.yelp.com/biz/perry-st-new-york
Pershing Square,American Traditional,True,LD,None,Midtown East,3.0,380,http://www.yelp.com/biz/pershing-square-new-york
Pete's Tavern,American Traditional,True,LD,D,Gramercy,3.0,72,http://www.yelp.com/biz/o-henrys-food-and-spirits-new-orleans-3
Petrossian,Continental,True,LD,None,Midtown West,3.5,179,http://www.yelp.com/biz/petrossian-new-york
Pigalle,French,True,LD,D,Times Square,3.0,348,http://www.yelp.com/biz/pigalle-new-york
Po,Italian,False,D,D,West Village,4.0,359,http://www.yelp.com/biz/p%C3%B3-new-york-2
Porter House New York,Steakhouse,False,L,None,Midtown West,3.5,355,http://www.yelp.com/biz/porter-house-new-york-new-york
Raymi,Peruvian,True,D,D,Flatiron District,4.0,281,http://www.yelp.com/biz/raymi-new-york
The Red Cat,American New,True,LD,D,Chelsea,4.0,1111,http://www.yelp.com/biz/drink-boston
Red Rooster Harlem,American New,False,L,None,Harlem,3.5,1335,http://www.yelp.com/biz/red-rooster-new-york-2
The Regency Bar & Grill,American New,True,D,D,Upper East Side,3.0,8,http://www.yelp.com/biz/the-regency-bar-and-grill-new-york
Remi Restaurant,Italian,False,LD,D,Midtown West,3.5,168,http://www.yelp.com/biz/remi-new-york
Restaurant Nippon,Japanese,False,LD,None,Midtown East,3.5,108,http://www.yelp.com/biz/nippon-new-york
Resto,French,True,LD,D,Murray Hill,3.5,553,http://www.yelp.com/biz/resto-new-york
Ristorante Morini,Italian,True,L,None,Upper East Side,4.0,66,http://www.yelp.com/biz/ristorante-morini-new-york
Riverpark,American New,True,L,None,Murray Hill,4.0,472,http://www.yelp.com/biz/riverpark-new-york
Rock Center Cafe,American Traditional,True,D,None,Midtown West,3.0,215,http://www.yelp.com/biz/rock-center-cafe-new-york
Rocking Horse Cafe,Mexican,True,LD,None,Chelsea,3.5,1415,http://www.yelp.com/biz/border-cafe-cambridge
Root & Bone,Soul Food/Southern,True,LD,D,East Village,4.0,437,http://www.yelp.com/biz/root-and-bone-new-york
Rosa Mexicano at First Avenue,Mexican,False,LD,D,Midtown East,3.5,327,http://www.yelp.com/biz/rosa-mexicano-new-york-5
Rosa Mexicano at Lincoln Center,Mexican,False,LD,D,Upper West Side,3.5,708,http://www.yelp.com/biz/rosa-mexicano-new-york-6
Rosa Mexicano at Union Square,Mexican,False,LD,D,Union Square,3.5,1415,http://www.yelp.com/biz/border-cafe-cambridge
Rossini's Restaurant,Italian,True,LD,D,Murray Hill,4.0,68,http://www.yelp.com/biz/rossinis-new-york
Ruby Foo's Times Square,Asian Fusion,False,LD,None,Times Square,3.0,516,http://www.yelp.com/biz/ruby-foos-new-york
The Russian Tea Room,Continental,True,LD,None,Midtown West,3.0,534,http://www.yelp.com/biz/the-russian-tea-room-new-york
Ruth's Chris Steak House,Steakhouse,True,LD,D,Times Square,4.0,443,http://www.yelp.com/biz/ruths-chris-steak-house-new-york-3
Sant Ambroeus - West Village,Italian,True,LD,D,West Village,3.5,149,http://www.yelp.com/biz/sant-ambroeus-new-york-2
Sant Ambroeus SoHo,Italian,True,LD,D,NoLIta,4.0,29,http://www.yelp.com/biz/sant-ambroeus-new-york-3
Sarabeth's Central Park South,American New,True,LD,D,Midtown West,3.5,920,http://www.yelp.com/biz/sarabeths-central-park-south-new-york
Sarabeth's Park Avenue South,American New,True,LD,D,NoMad,3.0,249,http://www.yelp.com/biz/sarabeths-new-york-5
Sarabeth's Tribeca,American New,True,LD,D,TriBeCa,3.5,365,http://www.yelp.com/biz/sarabeths-tribeca-new-york
Sarabeth's Upper East Side,American New,True,LD,D,Upper East Side,3.5,415,http://www.yelp.com/biz/sarabeths-new-york-6
Sarabeth's Upper West Side,American New,True,LD,D,Upper West Side,3.5,636,http://www.yelp.com/biz/sarabeths-west-new-york
Saul,American New,True,LD,None,Prospect Heights,3.5,67,http://www.yelp.com/biz/saul-restaurant-brooklyn-2
Savore Ristorante,Italian,True,LD,D,SoHo,3.5,93,http://www.yelp.com/biz/savore-ristorante-new-york
Sazon,Latin American,True,LD,D,TriBeCa,3.5,490,http://www.yelp.com/biz/sazon-new-york
Scaletta Ristorante,Italian,False,D,D,Upper West Side,3.5,51,http://www.yelp.com/biz/scaletta-ristorante-new-york-2
Scarpetta,Italian,True,D,None,Meatpacking District,4.0,1140,http://www.yelp.com/biz/scarpetta-new-york
The Sea Grill,Seafood,True,D,None,Midtown West,3.5,183,http://www.yelp.com/biz/the-sea-grill-new-york
Shun Lee Palace,Chinese,True,LD,D,Midtown East,3.0,164,http://www.yelp.com/biz/shun-lee-palace-new-york
Shun Lee West,Chinese,False,LD,D,Upper West Side,3.0,253,http://www.yelp.com/biz/shun-lee-west-new-york
Sirio Ristorante,Italian,True,L,None,Upper East Side,4.0,53,http://www.yelp.com/biz/sirio-ristorante-new-york
Smith & Wollensky,Steakhouse,True,L,None,Midtown East,3.5,777,http://www.yelp.com/biz/smith-and-wollensky-new-york
Smoke Jazz & Supper Club,American New,True,D,None,Upper West Side,4.0,205,http://www.yelp.com/biz/smoke-jazz-club-new-york
Smorgas Chef,Scandinavian,True,LD,None,Murray Hill,3.5,97,http://www.yelp.com/biz/smorgas-chef-new-york-7
Soba Nippon,Japanese,False,D,None,Midtown West,3.5,101,http://www.yelp.com/biz/soba-nippon-new-york
Socarrat Paella Bar - Chelsea,Spanish,True,LD,D,Chelsea,4.0,1348,http://www.yelp.com/biz/toro-boston
Socarrat Paella Bar - East,Spanish,True,LD,D,Midtown East,3.5,216,http://www.yelp.com/biz/socarrat-paella-bar-midtown-east-new-york-2
Socarrat Paella Bar - Nolita,Spanish,True,LD,D,NoLIta,4.0,235,http://www.yelp.com/biz/socarrat-paella-bar-new-york-4
Sofrito on the Hudson,Latin American,True,D,D,Harlem,3.0,25,http://www.yelp.com/biz/sofrito-manhattan
Southgate Bar & Restaurant,American New,True,LD,D,Midtown West,3.5,126,http://www.yelp.com/biz/southgate-bar-and-lounge-new-york
Spasso,American New,False,D,D,West Village,3.5,213,http://www.yelp.com/biz/spasso-new-york
Spice Market,Asian Fusion,False,LD,D,Meatpacking District,3.5,1838,http://www.yelp.com/biz/spice-market-new-york
The Stanton Social,American New,True,D,D,Lower East Side,4.0,2095,http://www.yelp.com/biz/the-stanton-social-new-york
State Grill and Bar,American New,True,LD,None,Garment District,4.5,31,http://www.yelp.com/biz/state-grill-and-bar-new-york
Stella 34 Trattoria,Italian,True,LD,D,Herald Square,4.0,306,http://www.yelp.com/biz/stella-34-trattoria-new-york
STK Midtown,Steakhouse,True,L,None,Midtown West,3.5,322,http://www.yelp.com/biz/stk-midtown-new-york
Strip House Midtown,Steakhouse,True,L,None,Midtown West,4.0,241,http://www.yelp.com/biz/strip-house-new-york-6
SushiSamba NYC West Village,Asian Fusion,True,LD,D,West Village,3.5,895,http://www.yelp.com/biz/sushisamba-new-york-6
Swifty's,American Traditional,True,LD,D,Upper East Side,3.0,28,http://www.yelp.com/biz/swiftys-new-york
T Bar Steak and Lounge,American New,False,LD,D,Upper East Side,3.5,87,http://www.yelp.com/biz/tbar-steak-and-lounge-new-york
Taboon,Mediterranean,True,D,D,Hell's Kitchen,4.0,339,http://www.yelp.com/biz/taboon-new-york
Tamarind Tribeca,Indian,False,L,None,TriBeCa,4.0,409,http://www.yelp.com/biz/tamarind-new-york-4
Tamba Indian Grill & Bar,Indian,True,LD,D,Kips Bay,3.0,154,http://www.yelp.com/biz/tamba-indian-grill-and-bar-new-york
Tao Uptown,Pan-Asian,True,L,None,Midtown East,3.5,1588,http://www.yelp.com/biz/tao-new-york-2
Tarallucci e Vino,Italian,True,LD,None,Union Square,3.5,230,http://www.yelp.com/biz/tarallucci-e-vino-new-york-2
Tavern on the Green,American New,True,LD,D,Central Park,3.0,359,http://www.yelp.com/biz/tavern-on-the-green-new-york-7
Ted's Montana Grill,American Traditional,True,D,D,Times Square,3.5,208,http://www.yelp.com/biz/teds-montana-grill-new-york
Telepan,American New,True,LD,D,Upper West Side,4.0,439,http://www.yelp.com/biz/telepan-new-york
Tender Restaurant & Lounge,American New,True,LD,None,Times Square,4.0,125,http://www.yelp.com/biz/tender-new-york-2
Tertulia,Spanish,True,L,D,West Village,3.5,307,http://www.yelp.com/biz/tertulia-new-york
Texas de Brazil,Brazilian,True,D,D,Upper East Side,3.5,114,http://www.yelp.com/biz/texas-de-brazil-new-york
Thalassa Restaurant,Greek,False,LD,None,TriBeCa,4.0,201,http://www.yelp.com/biz/thalassa-restaurant-new-york
Thalia Restaurant,American New,True,LD,D,Times Square,3.5,561,http://www.yelp.com/biz/thalia-restaurant-new-york
Todd English Food Hall,American New,True,LD,None,Midtown West,3.5,177,http://www.yelp.com/biz/todd-english-food-hall-new-york
Toloache,Mexican,True,LD,D,Times Square,4.0,1053,http://www.yelp.com/biz/toloache-new-york-2
Toloache Thompson,Mexican,True,LD,D,Greenwich Village,4.0,173,http://www.yelp.com/biz/toloache-new-york-4
Tribeca Grill,American New,True,LD,D,TriBeCa,3.5,406,http://www.yelp.com/biz/tribeca-grill-new-york-2
Triomphe Restaurant,French,True,LD,None,Midtown West,3.5,86,http://www.yelp.com/biz/triomphe-new-york-2
Tulsi,Indian,False,LD,D,Midtown East,3.5,210,http://www.yelp.com/biz/tulsi-new-york
Vermilion,Indian,True,LD,None,Midtown East,3.0,263,http://www.yelp.com/biz/vermilion-new-york-4
ViceVersa,Italian,True,LD,D,Hell's Kitchen,4.0,143,http://www.yelp.com/biz/viceversa-new-york
Victor's Cafe,Cuban,False,L,None,Times Square,4.0,811,http://www.yelp.com/biz/victors-cafe-new-york-6
The View Restaurant & Lounge,American New,True,D,None,Times Square,3.0,508,http://www.yelp.com/biz/the-view-restaurant-and-lounge-new-york
Villa Berulia,Italian,True,LD,None,Murray Hill,4.0,57,http://www.yelp.com/biz/villa-berulia-new-york
The Water Club,American Traditional,False,D,None,Midtown East,3.5,249,http://www.yelp.com/biz/the-water-club-new-york
Water's Edge Restaurant,American New,False,LD,None,Long Island City,3.0,244,http://www.yelp.com/biz/waters-edge-restaurant-long-island-city
The Wayfarer,American New,True,L,None,Midtown West,3.5,111,http://www.yelp.com/biz/the-wayfarer-new-york
The Wright,American New,True,L,None,Upper East Side,3.5,51,http://www.yelp.com/biz/the-wright-new-york
The Writing Room,American New,True,LD,D,Upper East Side,4.0,207,http://www.yelp.com/biz/the-writing-room-new-york
Yerba Buena,Latin American,True,D,D,East Village,4.0,621,http://www.yelp.com/biz/yerba-buena-new-york
Yerba Buena Perry,Latin American,True,D,D,West Village,4.0,455,http://www.yelp.com/biz/yerba-buena-perry-new-york
Zengo,Asian Fusion,True,LD,None,Midtown East,3.5,500,http://www.yelp.com/biz/zengo-new-york
Zio Ristorante,Italian,True,LD,D,Flatiron District,4.0,139,http://www.yelp.com/biz/zio-ristorante-new-york
Zuma,Japanese,True,LD,None,Murray Hill,3.5,135,http://www.yelp.com/biz/zuma-new-york-new-york
